timestamp_cet,lat_deg,lon_deg
2025-08-31 06:50:00+02:00,46.69597496,7.736535201
2025-08-31 07:00:00+02:00,46.69602966,7.7363942
2025-08-31 07:10:00+02:00,46.69621926,7.736530197
2025-08-31 07:20:00+02:00,46.69578716,7.736310168
2025-08-31 07:30:00+02:00,46.69575035,7.735693334
2025-08-31 07:40:00+02:00,46.69581473,7.735717571
2025-08-31 07:50:00+02:00,46.69573844,7.73583102
2025-08-31 08:00:00+02:00,46.695928,7.736191203
2025-08-31 08:10:00+02:00,46.69592681,7.73595976
2025-08-31 08:20:00+02:00,46.69553917,7.735527946
2025-08-31 08:30:00+02:00,46.69554669,7.735119984
2025-08-31 08:40:00+02:00,46.69566478,7.735122797
2025-08-31 08:50:00+02:00,46.69570528,7.735745274
2025-08-31 09:00:00+02:00,46.69584149,7.73616286
2025-08-31 09:10:00+02:00,46.69598507,7.736279476
2025-08-31 09:20:00+02:00,46.69588591,7.736057751
2025-08-31 09:30:00+02:00,46.69612077,7.736062822
2025-08-31 09:40:00+02:00,46.70027585,7.735465821
