pred_csv,agg,n_images_used,RMSE_height_px,RMSE_height_m,day,model_key,model_reference
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-09_YOLO8N_1000-50_wave_stat\waves_02_waves_yolov8n-1000_50e_2025-08-09_02-00_2025-08-09_23-50.csv,mean,81,6.06079452348698,0.22166719838596405,2025-08-09,yolov8n-1000_50e,Model-1
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-09_YOLO8N_1000-150_wave_stat\waves_02_waves_yolov8n-1000_150e_2025-08-09_02-00_2025-08-09_23-50.csv,mean,81,6.1610639791277135,0.24685232178319066,2025-08-09,yolov8n-1000_150e,Model-2
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-09_YOLO8S_1000_wave_stat\waves_03_waves_yolov8s-1000_150e_2025-08-09_02-00_2025-08-09_23-50.csv,mean,81,5.958803905629214,0.22052990341686143,2025-08-09,yolov8s-1000_150e,Model-3
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-09_YOLO8S_5000_wave_stat\waves_04_waves_yolov8s-5000_150e_2025-08-09_02-00_2025-08-09_23-50.csv,mean,75,5.729831014160048,0.20834992725067625,2025-08-09,yolov8s-5000_150e,Model-4
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-24_YOLO8N_1000-50_wave_stat\waves_02_waves_yolov8n-1000_50e_2025-08-24_02-00_2025-08-24_23-50.csv,mean,71,6.274036785355607,0.2685548603127495,2025-08-24,yolov8n-1000_50e,Model-1
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-24_YOLO8N_1000-150_wave_stat\waves_02_waves_yolov8n-1000_150e_2025-08-24_02-00_2025-08-24_23-50.csv,mean,71,6.188697790478595,0.2954500468632437,2025-08-24,yolov8n-1000_150e,Model-2
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-24_YOLO8S_1000_wave_stat\waves_03_waves_yolov8s-1000_150e_2025-08-24_02-00_2025-08-24_23-50.csv,mean,71,6.125146842197534,0.2693055127685587,2025-08-24,yolov8s-1000_150e,Model-3
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-08-24_YOLO8S_5000_wave_stat\waves_04_waves_yolov8s-5000_150e_2025-08-24_02-00_2025-08-24_23-50.csv,mean,69,5.8826907502155255,0.2447251437106162,2025-08-24,yolov8s-5000_150e,Model-4
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-10-23_YOLO8N_1000-50_wave_stat\waves_02_waves_yolov8n-1000_50e_2025-10-23_02-00_2025-10-23_23-50.csv,mean,64,5.7328778411950845,0.2631352965024907,2025-10-23,yolov8n-1000_50e,Model-1
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-10-23_YOLO8N_1000-150_wave_stat\waves_02_waves_yolov8n-1000_150e_2025-10-23_02-00_2025-10-23_23-50.csv,mean,51,5.763975310896271,0.25624220565826034,2025-10-23,yolov8n-1000_150e,Model-2
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-10-23_YOLO8S_1000_wave_stat\waves_03_waves_yolov8s-1000_150e_2025-10-23_02-00_2025-10-23_23-50.csv,mean,59,5.60035032326347,0.24989495988598287,2025-10-23,yolov8s-1000_150e,Model-3
C:\Users\A\Documents\XX_GitHub_Repo\data-waves\results\2025-10-23_YOLO8S_5000_wave_stat\waves_04_waves_yolov8s-5000_150e_2025-10-23_02-00_2025-10-23_23-50.csv,mean,61,5.357865665484817,0.2395074256362318,2025-10-23,yolov8s-5000_150e,Model-4
