scheduled_time,appearance_time,delay_seconds
24/08/2025 12:30,24/08/2025 12:33,185.83
24/08/2025 12:40,24/08/2025 12:43,189.86
24/08/2025 12:50,24/08/2025 12:53,188.31
24/08/2025 13:00,24/08/2025 13:03,199.24
24/08/2025 13:10,24/08/2025 13:13,197.15
24/08/2025 13:20,24/08/2025 13:23,189.12
24/08/2025 13:30,24/08/2025 13:33,193.69
24/08/2025 13:40,24/08/2025 13:43,181.92
24/08/2025 13:50,24/08/2025 13:53,218.06
24/08/2025 14:00,24/08/2025 14:03,183.49
24/08/2025 14:10,24/08/2025 14:13,182.28
24/08/2025 14:20,24/08/2025 14:23,198.8
24/08/2025 14:30,24/08/2025 14:33,184.45
24/08/2025 14:40,24/08/2025 14:43,199.86
24/08/2025 14:50,24/08/2025 14:53,204.95
24/08/2025 15:00,24/08/2025 15:03,195.06
24/08/2025 15:10,24/08/2025 15:14,248.96
24/08/2025 15:20,24/08/2025 15:23,196.68
24/08/2025 15:30,24/08/2025 15:33,225.72
24/08/2025 15:40,24/08/2025 15:43,180.91
24/08/2025 15:50,24/08/2025 15:53,232.47
24/08/2025 16:00,24/08/2025 16:03,180.45
24/08/2025 16:10,24/08/2025 16:13,201.37
24/08/2025 16:20,24/08/2025 16:23,197.76
24/08/2025 16:30,24/08/2025 16:33,201.9
24/08/2025 16:40,24/08/2025 16:43,203.42
24/08/2025 16:50,24/08/2025 16:53,196.96
24/08/2025 17:00,24/08/2025 17:03,182.86
24/08/2025 17:10,24/08/2025 17:13,204.74
24/08/2025 17:20,24/08/2025 17:23,190.62
24/08/2025 17:30,24/08/2025 17:33,188.7
24/08/2025 17:40,24/08/2025 17:43,180.49
24/08/2025 17:50,24/08/2025 17:53,194.56
24/08/2025 18:00,24/08/2025 18:03,194.26
24/08/2025 18:10,24/08/2025 18:13,181.26
24/08/2025 18:20,24/08/2025 18:23,181.54
24/08/2025 18:30,24/08/2025 18:33,196.99
24/08/2025 18:40,24/08/2025 18:43,185.77
24/08/2025 18:50,24/08/2025 18:53,193.25
24/08/2025 19:00,24/08/2025 19:03,206.24
24/08/2025 19:10,24/08/2025 19:13,187.62
24/08/2025 19:20,24/08/2025 19:23,180.45
24/08/2025 19:30,24/08/2025 19:33,180.59
24/08/2025 19:40,24/08/2025 19:43,182.98
24/08/2025 19:50,24/08/2025 19:53,182.41
24/08/2025 20:00,24/08/2025 20:03,187.82
24/08/2025 20:10,24/08/2025 20:13,180.89
24/08/2025 20:20,24/08/2025 20:23,180.29
24/08/2025 20:40,24/08/2025 20:43,180.34
